filename,pytesseract_predicted_result,paddleocr_ocr_predicted_result
2646b252-OUTSIDE2_2024-10-02-1345-OUTSIDE-2_2_crop_4.jpg,2,2
2646b252-OUTSIDE2_2024-10-02-1345-OUTSIDE-2_2_crop_5.jpg,2,2
2646b252-OUTSIDE2_2024-10-02-1345-OUTSIDE-2_2_crop_6.jpg,,
269ff266-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_4_crop_2.jpg,226,226
269ff266-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_4_crop_3.jpg,,
269ff266-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_4_crop_4.jpg,0,08
269ff266-OUTSIDE2_2024-10-07-1412-OUTSIDE-2_4_crop_5.jpg,226,
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_10.jpg,,15
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_11.jpg,,5
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_12.jpg,3 07,307
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_13.jpg,355,355
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_14.jpg,,
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_7.jpg,314,314
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_8.jpg,,
26de07f6-OUTSIDE7_2024-10-21-1346-OUTSIDE-7_crop_9.jpg,207,307
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_10.jpg,700,700
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_11.jpg,,
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_12.jpg,204,709
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_13.jpg,,
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_14.jpg,,
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_15.jpg,143,143
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_16.jpg,20,420
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_17.jpg,5,57
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_18.jpg,143,143
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_19.jpg,376,376
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_20.jpg,703,703
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_21.jpg,193,143
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_22.jpg,5,542
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_23.jpg,,376
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_24.jpg,,
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_25.jpg,420,120
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_26.jpg,700,700
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_8.jpg,708,70
27097597-OUTSIDE8_2024-09-19-1410-OUTSIDE-8_crop_9.jpg,,
277e9cda-INSIDE5_2024-10-28-1413-INSIDE-5_crop_5.jpg,,
277e9cda-INSIDE5_2024-10-28-1413-INSIDE-5_crop_6.jpg,02,02
277e9cda-INSIDE5_2024-10-28-1413-INSIDE-5_crop_7.jpg,307,507
277e9cda-INSIDE5_2024-10-28-1413-INSIDE-5_crop_8.jpg,2,102
277e9cda-INSIDE5_2024-10-28-1413-INSIDE-5_crop_9.jpg,02,102
2976bfa3-OUTSIDE2_2024-10-17-1355-OUTSIDE-2_3_crop_2.jpg,55,55
2976bfa3-OUTSIDE2_2024-10-17-1355-OUTSIDE-2_3_crop_3.jpg,226,226
2976bfa3-OUTSIDE2_2024-10-17-1355-OUTSIDE-2_3_crop_4.jpg,155,155
2976bfa3-OUTSIDE2_2024-10-17-1355-OUTSIDE-2_3_crop_5.jpg,228,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_11.jpg,,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_12.jpg,04,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_13.jpg,,471
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_14.jpg,,541
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_15.jpg,805,600
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_16.jpg,591,591
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_17.jpg,,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_18.jpg,"4
71",471
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_19.jpg,,
2bf495d8-OUTSIDE8_2024-10-11-1420-OUTSIDE-8_2_crop_20.jpg,76,
