pytesseract_predicted_result,paddleocr_ocr_predicted_result,trocr_predicted_result,filename
,,501,2024-09-04-1402-INSIDE-8_crop_23.jpg
5015,501,6015,2024-09-04-1402-INSIDE-8_crop_24.jpg
5015,5015,50151,2024-09-04-1402-INSIDE-8_crop_25.jpg
,,405,2024-09-04-1402-INSIDE-8_crop_8.jpg
,,214,2024-09-04-1402-INSIDE-8_crop_9.jpg
59,558,558,2024-09-04-1402-OUTSIDE-10_crop_10.jpg
478,478,478,2024-09-04-1402-OUTSIDE-10_crop_11.jpg
,,359,2024-09-04-1402-OUTSIDE-10_crop_12.jpg
196,190,190,2024-09-04-1402-OUTSIDE-10_crop_13.jpg
,508,5084,2024-09-04-1402-OUTSIDE-10_crop_14.jpg
34,3,344,2024-09-04-1402-OUTSIDE-10_crop_15.jpg
355,355,355,2024-09-04-1402-OUTSIDE-10_crop_16.jpg
446,,446,2024-09-04-1402-OUTSIDE-10_crop_17.jpg
,,5,2024-09-04-1402-OUTSIDE-10_crop_18.jpg
3,334,334,2024-09-04-1402-OUTSIDE-10_crop_19.jpg
1,,,2024-09-04-1402-OUTSIDE-10_crop_20.jpg
,,,2024-09-04-1402-OUTSIDE-10_crop_21.jpg
709,,709,2024-09-04-1402-OUTSIDE-11_crop_10.jpg
150,,450,2024-09-04-1402-OUTSIDE-11_crop_11.jpg
,353,,2024-09-04-1402-OUTSIDE-11_crop_12.jpg
532,,531,2024-09-04-1402-OUTSIDE-11_crop_13.jpg
2,,54,2024-09-04-1402-OUTSIDE-11_crop_14.jpg
6,,562,2024-09-04-1402-OUTSIDE-11_crop_15.jpg
2910,,290,2024-09-04-1402-OUTSIDE-11_crop_16.jpg
4713,,473,2024-09-04-1402-OUTSIDE-11_crop_17.jpg
57,,57,2024-09-04-1402-OUTSIDE-11_crop_18.jpg
514,,54,2024-09-04-1402-OUTSIDE-11_crop_19.jpg
12139,,235,2024-09-04-1402-OUTSIDE-11_crop_20.jpg
249,249,249,2024-09-04-1402-OUTSIDE-2 (2)_crop_2.jpg
126,1226,126,2024-09-04-1402-OUTSIDE-2 (2)_crop_3.jpg
7,,176,2024-09-04-1402-OUTSIDE-2 (2)_crop_4.jpg
249,249,249,2024-09-04-1402-OUTSIDE-2 (2)_crop_5.jpg
525,525,525,2024-09-04-1402-OUTSIDE-2 (3)_crop_2.jpg
132,182,182,2024-09-04-1402-OUTSIDE-2 (3)_crop_3.jpg
12,182,182,2024-09-04-1402-OUTSIDE-2 (3)_crop_4.jpg
416,416,416,2024-09-04-1402-OUTSIDE-2_crop_2.jpg
4,,416,2024-09-04-1402-OUTSIDE-2_crop_3.jpg
407,409,409,2024-09-04-1402-OUTSIDE-2_crop_4.jpg
530,530,530,2024-09-04-1402-OUTSIDE-4 (2)_crop_4.jpg
473,473,473,2024-09-04-1402-OUTSIDE-4 (2)_crop_5.jpg
472,473,473,2024-09-04-1402-OUTSIDE-4 (2)_crop_6.jpg
294,76,394,2024-09-04-1402-OUTSIDE-4 (2)_crop_7.jpg
54,5,54,2024-09-04-1402-OUTSIDE-4 (2)_crop_8.jpg
,9,249,2024-09-04-1402-OUTSIDE-6_crop_10.jpg
17,,17,2024-09-04-1402-OUTSIDE-6_crop_11.jpg
126,,126,2024-09-04-1402-OUTSIDE-6_crop_6.jpg
64,60,640,2024-09-04-1402-OUTSIDE-6_crop_7.jpg
01,0,01,2024-09-04-1402-OUTSIDE-6_crop_8.jpg
16216,,626,2024-09-04-1402-OUTSIDE-6_crop_9.jpg
2166,,266,2024-09-04-1402-OUTSIDE-8 (2)_crop_10.jpg
46,,416,2024-09-04-1402-OUTSIDE-8 (2)_crop_11.jpg
55,,55,2024-09-04-1402-OUTSIDE-8 (2)_crop_12.jpg
210177,,307,2024-09-04-1402-OUTSIDE-8 (2)_crop_13.jpg
715,,115,2024-09-04-1402-OUTSIDE-8 (2)_crop_14.jpg
10,,1051,2024-09-04-1402-OUTSIDE-8 (2)_crop_15.jpg
409,,409,2024-09-04-1402-OUTSIDE-8 (2)_crop_16.jpg
,,235,2024-09-04-1402-OUTSIDE-8 (2)_crop_17.jpg
,,05,2024-09-04-1402-OUTSIDE-8 (2)_crop_18.jpg
46,,235,2024-09-04-1402-OUTSIDE-8 (2)_crop_19.jpg
,,49,2024-09-04-1402-OUTSIDE-8 (2)_crop_20.jpg
121016,,206,2024-09-04-1402-OUTSIDE-8 (2)_crop_8.jpg
56,565,565,2024-09-04-1402-OUTSIDE-8_crop_10.jpg
5,86,86,2024-09-04-1402-OUTSIDE-8_crop_11.jpg
,86,86,2024-09-04-1402-OUTSIDE-8_crop_12.jpg
355,55,355,2024-09-04-1402-OUTSIDE-8_crop_13.jpg
334,,334,2024-09-04-1402-OUTSIDE-8_crop_14.jpg
,,478,2024-09-04-1402-OUTSIDE-8_crop_15.jpg
934,,924,2024-09-04-1402-OUTSIDE-8_crop_16.jpg
,,344,2024-09-04-1402-OUTSIDE-8_crop_18.jpg
,,00000,2024-09-04-1402-OUTSIDE-8_crop_19.jpg
,,,2024-09-04-1402-OUTSIDE-8_crop_20.jpg
